athlete_id,athlete_name,club,position,age,session_number,session_date,heart_rate,hrv,training_load,fatigue_score,recovery_hours,sleep_hours,previous_injury_flag,readiness_score,injury_risk
ATH-154,Player 1,Stonebridge Town,Centre Back,30,1,2026-01-03,68.7,72.1,62.5,4.8,10.2,8.5,1,100.0,0
ATH-154,Player 1,Stonebridge Town,Centre Back,30,2,2026-01-09,70.7,62.1,64.2,3.7,9.6,7.7,1,100.0,0
ATH-154,Player 1,Stonebridge Town,Centre Back,30,3,2026-01-10,74.3,60.6,62.3,5.2,9.7,7.3,1,100.0,0
ATH-154,Player 1,Stonebridge Town,Centre Back,30,4,2026-01-13,65.7,65.2,54.3,4.5,8.3,7.3,1,100.0,0
ATH-154,Player 1,Stonebridge Town,Centre Back,30,5,2026-01-11,74.8,61.5,78.0,5.6,9.0,8.5,1,100.0,0
ATH-154,Player 1,Stonebridge Town,Centre Back,30,6,2026-01-19,64.5,72.8,86.9,4.8,9.8,7.6,1,100.0,0
ATH-154,Player 1,Stonebridge Town,Centre Back,30,7,2026-01-22,73.9,65.9,55.0,4.6,10.1,8.5,1,100.0,0
ATH-154,Player 1,Stonebridge Town,Centre Back,30,8,2026-01-25,75.3,64.1,74.9,6.0,10.7,10.0,1,100.0,0
ATH-154,Player 1,Stonebridge Town,Centre Back,30,9,2026-01-28,66.6,70.6,84.7,4.7,11.1,8.5,1,100.0,0
ATH-154,Player 1,Stonebridge Town,Centre Back,30,10,2026-02-10,69.2,72.3,69.4,4.9,10.2,8.6,1,100.0,0
ATH-154,Player 1,Stonebridge Town,Centre Back,30,11,2026-01-23,77.2,72.4,76.4,3.5,8.0,8.0,1,100.0,0
ATH-154,Player 1,Stonebridge Town,Centre Back,30,12,2026-01-25,72.9,65.6,57.2,5.0,8.9,8.9,1,100.0,0
ATH-375,Player 2,Southmoor Albion,Attacking Midfielder,20,1,2026-01-05,67.3,54.4,85.1,4.5,7.8,8.5,0,100.0,0
ATH-375,Player 2,Southmoor Albion,Attacking Midfielder,20,2,2026-01-07,77.5,62.7,56.4,5.4,8.6,6.3,0,100.0,0
ATH-375,Player 2,Southmoor Albion,Attacking Midfielder,20,3,2026-01-07,69.7,44.4,81.2,5.8,8.2,5.7,0,98.6,0
ATH-375,Player 2,Southmoor Albion,Attacking Midfielder,20,4,2026-01-17,68.3,46.6,71.0,5.3,6.3,6.8,0,99.6,0
ATH-375,Player 2,Southmoor Albion,Attacking Midfielder,20,5,2026-01-21,66.5,49.1,83.1,6.8,8.5,8.0,0,99.8,0
ATH-375,Player 2,Southmoor Albion,Attacking Midfielder,20,6,2026-01-13,69.3,58.1,72.9,6.6,6.4,8.1,0,96.7,0
ATH-375,Player 2,Southmoor Albion,Attacking Midfielder,20,7,2026-01-15,74.5,49.1,71.5,3.1,9.1,7.1,0,100.0,0
ATH-375,Player 2,Southmoor Albion,Attacking Midfielder,20,8,2026-01-17,72.9,53.7,63.6,6.9,9.9,6.4,0,100.0,0
